season,period_end_date,region,crush_tonnes
17-18,2017-08-01,other_states,20624851
17-18,2017-08-01,sao_paulo,30282403
17-18,2017-08-16,other_states,18151549
17-18,2017-08-16,sao_paulo,27284675
17-18,2017-09-01,other_states,16775347
17-18,2017-09-01,sao_paulo,22300257
17-18,2017-09-16,other_states,18021165
17-18,2017-09-16,sao_paulo,27451945
17-18,2017-10-01,other_states,15957629
17-18,2017-10-01,sao_paulo,24502349
17-18,2017-10-16,other_states,13103438
17-18,2017-10-16,sao_paulo,19416402
17-18,2017-11-01,other_states,12492250
17-18,2017-11-01,sao_paulo,17651976
17-18,2017-11-16,other_states,9276204
17-18,2017-11-16,sao_paulo,14173536
17-18,2017-12-01,other_states,6701469
17-18,2017-12-01,sao_paulo,8569409
17-18,2017-12-16,other_states,3787341
17-18,2017-12-16,sao_paulo,6729259
17-18,2018-01-01,other_states,1003489
17-18,2018-01-01,sao_paulo,1552564
17-18,2018-01-16,other_states,164605
17-18,2018-01-16,sao_paulo,1817
17-18,2018-02-01,other_states,397004
17-18,2018-02-01,sao_paulo,23761
17-18,2018-02-16,other_states,472215
17-18,2018-02-16,sao_paulo,104563
17-18,2018-03-01,other_states,647434
17-18,2018-03-01,sao_paulo,83504
17-18,2018-03-16,other_states,1250285
17-18,2018-03-16,sao_paulo,2170746
17-18,2018-04-01,other_states,2667242
17-18,2018-04-01,sao_paulo,5106575
18-19,2018-04-16,other_states,8957130
18-19,2018-04-16,sao_paulo,13402788
18-19,2018-05-01,other_states,14223671
18-19,2018-05-01,sao_paulo,23586853
18-19,2018-05-16,other_states,16617172
18-19,2018-05-16,sao_paulo,26166587
18-19,2018-06-01,other_states,12495107
18-19,2018-06-01,sao_paulo,20139093
18-19,2018-06-16,other_states,16342633
18-19,2018-06-16,sao_paulo,26179990
18-19,2018-07-01,other_states,18697684
18-19,2018-07-01,sao_paulo,26839253
18-19,2018-07-16,other_states,18774559
18-19,2018-07-16,sao_paulo,26438984
18-19,2018-08-01,other_states,19901812
18-19,2018-08-01,sao_paulo,27764350
18-19,2018-08-16,other_states,14666591
18-19,2018-08-16,sao_paulo,19024132
18-19,2018-09-01,other_states,17852190
18-19,2018-09-01,sao_paulo,25671265
18-19,2018-09-16,other_states,15616174
18-19,2018-09-16,sao_paulo,23152756
18-19,2018-10-01,other_states,12144296
18-19,2018-10-01,sao_paulo,15687813
18-19,2018-10-16,other_states,11185097
18-19,2018-10-16,sao_paulo,14442640
18-19,2018-11-01,other_states,11475642
18-19,2018-11-01,sao_paulo,13503456
18-19,2018-11-16,other_states,8871878
18-19,2018-11-16,sao_paulo,12590251
18-19,2018-12-01,other_states,6834287
18-19,2018-12-01,sao_paulo,7806560
18-19,2018-12-16,other_states,6731171
18-19,2018-12-16,sao_paulo,6182178
18-19,2019-01-01,other_states,1872987
18-19,2019-01-01,sao_paulo,672991
18-19,2019-01-16,other_states,461875
18-19,2019-01-16,sao_paulo,94350
18-19,2019-02-01,other_states,484703
18-19,2019-02-01,sao_paulo,78720
18-19,2019-02-16,other_states,215180
18-19,2019-02-16,sao_paulo,64729
18-19,2019-03-01,other_states,543370
18-19,2019-03-01,sao_paulo,0
18-19,2019-03-16,other_states,1073927
18-19,2019-03-16,sao_paulo,517543
18-19,2019-04-01,other_states,3791443
18-19,2019-04-01,sao_paulo,3330887
19-20,2019-04-16,other_states,7330278
19-20,2019-04-16,sao_paulo,6569258
19-20,2019-05-01,other_states,13118303
19-20,2019-05-01,sao_paulo,18610451
19-20,2019-05-16,other_states,15079880
19-20,2019-05-16,sao_paulo,23960432
19-20,2019-06-01,other_states,17876680
19-20,2019-06-01,sao_paulo,26427150
19-20,2019-06-16,other_states,17741140
19-20,2019-06-16,sao_paulo,24768309
19-20,2019-07-01,other_states,18813988
19-20,2019-07-01,sao_paulo,27663488
19-20,2019-07-16,other_states,17767507
19-20,2019-07-16,sao_paulo,23186812
19-20,2019-08-01,other_states,20476488
19-20,2019-08-01,sao_paulo,29371933
19-20,2019-08-16,other_states,17953543
19-20,2019-08-16,sao_paulo,24855837
19-20,2019-09-01,other_states,19487633
19-20,2019-09-01,sao_paulo,28417376
19-20,2019-09-16,other_states,16524568
19-20,2019-09-16,sao_paulo,23044132
19-20,2019-10-01,other_states,14611985
19-20,2019-10-01,sao_paulo,20561560
19-20,2019-10-16,other_states,14423975
19-20,2019-10-16,sao_paulo,23166732
19-20,2019-11-01,other_states,13072008
19-20,2019-11-01,sao_paulo,19687797
19-20,2019-11-16,other_states,8493409
19-20,2019-11-16,sao_paulo,11398349
19-20,2019-12-01,other_states,5171850
19-20,2019-12-01,sao_paulo,5708104
19-20,2019-12-16,other_states,1475418
19-20,2019-12-16,sao_paulo,1100089
19-20,2020-01-01,other_states,572022
19-20,2020-01-01,sao_paulo,161019
19-20,2020-01-16,other_states,117430
19-20,2020-01-16,sao_paulo,10171
19-20,2020-02-01,other_states,76980
19-20,2020-02-01,sao_paulo,9821
19-20,2020-02-16,other_states,170420
19-20,2020-02-16,sao_paulo,0
19-20,2020-03-01,other_states,458456
19-20,2020-03-01,sao_paulo,0
19-20,2020-03-16,other_states,2059394
19-20,2020-03-16,sao_paulo,896480
19-20,2020-04-01,other_states,3737055
19-20,2020-04-01,sao_paulo,3738215
20-21,2020-04-16,other_states,8893242
20-21,2020-04-16,sao_paulo,13617049
20-21,2020-05-01,other_states,13839117
20-21,2020-05-01,sao_paulo,24352686
20-21,2020-05-16,other_states,15583790
20-21,2020-05-16,sao_paulo,26754870
20-21,2020-06-01,other_states,16538205
20-21,2020-06-01,sao_paulo,25886736
20-21,2020-06-16,other_states,16738787
20-21,2020-06-16,sao_paulo,25072838
20-21,2020-07-01,other_states,18007274
20-21,2020-07-01,sao_paulo,25109489
20-21,2020-07-16,other_states,19118283
20-21,2020-07-16,sao_paulo,27636949
20-21,2020-08-01,other_states,20746700
20-21,2020-08-01,sao_paulo,30093933
20-21,2020-08-16,other_states,19150790
20-21,2020-08-16,sao_paulo,27429891
20-21,2020-09-01,other_states,16901552
20-21,2020-09-01,sao_paulo,25346516
20-21,2020-09-16,other_states,18600382
20-21,2020-09-16,sao_paulo,26072121
20-21,2020-10-01,other_states,16696919
20-21,2020-10-01,sao_paulo,23686735
20-21,2020-10-16,other_states,15381877
20-21,2020-10-16,sao_paulo,21604681
20-21,2020-11-01,other_states,10641826
