horizon,outer_held_out_season,alpha,inner_rmse,inner_mae,inner_r_squared,selected_alpha
1,13-14,56234132.51903491,5913183.786232217,4043676.261510469,0.9232559835342075,False
1,13-14,100000000.0,5913183.783438145,4043676.261335685,0.923255983606733,True
1,14-15,0.0001,7098909.557700902,5476312.0725222705,0.8888075356770042,False
1,14-15,0.00017782794100389227,7098577.68653364,5475814.996187994,0.8888179318399808,False
1,14-15,0.00031622776601683794,7097988.980218777,5474918.1680529835,0.888836372399311,False
1,14-15,0.0005623413251903491,7096946.035309016,5473284.153042916,0.8888690377140144,False
1,14-15,0.001,7095100.509853743,5470262.690384577,0.8889268283050034,False
1,14-15,0.0017782794100389228,7091831.856859788,5464565.8224862255,0.8890291456789274,False
1,14-15,0.0031622776601683794,7085997.818647005,5454394.265219575,0.8892116491350471,False
1,14-15,0.005623413251903491,7075365.72494173,5435855.151310387,0.8895438616099788,False
1,14-15,0.01,7055415.398533099,5406050.062522124,0.8901658871891076,False
1,14-15,0.01778279410038923,7017847.044825658,5364959.413391449,0.8913324523975357,False
1,14-15,0.03162277660168379,6951589.373351411,5301417.999850804,0.8933746940221269,False
1,14-15,0.05623413251903491,6849742.122188867,5193575.382661899,0.8964761267714586,False
1,14-15,0.1,6718003.983837617,5043272.658217938,0.9004198942294553,False
1,14-15,0.1778279410038923,6574111.456900518,4871030.560904869,0.9046400104650276,False
1,14-15,0.31622776601683794,6437835.00092883,4701954.262703711,0.908552517823934,False
1,14-15,0.5623413251903491,6321985.754276799,4550927.158569596,0.9118141115028481,False
1,14-15,1.0,6230940.064085048,4420166.554951234,0.914335828954632,False
1,14-15,1.7782794100389228,6163637.227999042,4316646.878318929,0.9161764193634682,False
1,14-15,3.1622776601683795,6116470.384194843,4244830.320245596,0.9174544199640088,False
1,14-15,5.623413251903491,6085166.97673299,4196981.442653362,0.9182971758546241,False
1,14-15,10.0,6065700.89209797,4173782.34552009,0.9188190646521265,False
1,14-15,17.78279410038923,6054430.774827957,4160045.018458382,0.9191204539605968,False
