model,horizon,held_out_season,training_seasons,training_observations,test_observations,design_columns_including_intercept,design_rank,design_full_column_rank,design_condition_number,fold_rmse,fold_mae,fold_r_squared
block_only_ols,4,13-14,15,45,3,3,3,True,3.7320508075688763,17889368.585934833,15625291.888888896,0.9414278873258687
block_only_ols,4,14-15,15,45,3,3,3,True,3.7320508075688763,3069678.4229367473,2936507.844444424,0.9983066995951513
block_only_ols,4,15-16,15,45,3,3,3,True,3.7320508075688763,19442798.59564349,18201927.97777779,0.8968846028769628
block_only_ols,4,16-17,15,45,3,3,3,True,3.7320508075688763,8186947.888583157,7375531.977777789,0.9885690292805682
block_only_ols,4,17-18,15,45,3,3,3,True,3.7320508075688763,4261958.902938565,4229826.377777795,0.996630571741071
block_only_ols,4,18-19,15,45,3,3,3,True,3.7320508075688763,18447823.869822253,14609967.48888888,0.9391220366909673
block_only_ols,4,19-20,15,45,3,3,3,True,3.7320508075688763,4426897.801658964,3980464.9111111066,0.9967240843708876
block_only_ols,4,20-21,15,45,3,3,3,True,3.7320508075688763,15041893.611632619,12065596.99999999,0.9681050894275458
block_only_ols,4,21-22,15,45,3,3,3,True,3.7320508075688763,23702573.846097082,17490299.22222221,0.8969969836220182
block_only_ols,4,22-23,15,45,3,3,3,True,3.7320508075688763,11432528.743486248,10928815.044444442,0.9737921525205339
block_only_ols,4,23-24,15,45,3,3,3,True,3.7320508075688763,17928211.7491446,15060130.73333334,0.9438284222455301
block_only_ols,4,24-25,15,45,3,3,3,True,3.7320508075688763,13596865.104531484,10697564.288888892,0.9719195664409154
block_only_ols,4,25-26,15,45,3,3,3,True,3.7320508075688763,4353379.445992378,4138894.5555555522,0.9966859251652751
block_only_ols,5,10-11,15,30,2,2,2,True,2.6180339887498953,12136878.214920942,9861050.300000004,0.967136165443311
block_only_ols,5,11-12,15,30,2,2,2,True,2.6180339887498953,20867730.819503073,20304343.233333305,0.8875162294011657
block_only_ols,5,12-13,15,30,2,2,2,True,2.6180339887498953,40561005.49299822,40053161.96666666,-3.0499665112504184
block_only_ols,5,13-14,15,30,2,2,2,True,2.6180339887498953,22338471.66494491,18161029.699999996,0.6984433744158662
block_only_ols,5,14-15,15,30,2,2,2,True,2.6180339887498953,4837533.194072271,3513377.766666688,0.9937106232395834
block_only_ols,5,15-16,15,30,2,2,2,True,2.6180339887498953,18688082.67078099,17396201.966666654,0.796195088383052
block_only_ols,5,16-17,15,30,2,2,2,True,2.6180339887498953,9335383.313962508,9316485.566666663,0.9743255076113821
block_only_ols,5,17-18,15,30,2,2,2,True,2.6180339887498953,5351595.122282974,4336952.766666681,0.9904511068304112
block_only_ols,5,18-19,15,30,2,2,2,True,2.6180339887498953,15102307.916710876,13649004.433333337,0.9541120481014944
block_only_ols,5,19-20,15,30,2,2,2,True,2.6180339887498953,7398890.393458322,7239240.166666679,0.9868378632293554
block_only_ols,5,20-21,15,30,2,2,2,True,2.6180339887498953,18662741.15979774,17269414.56666667,0.9362145467433222
block_only_ols,5,21-22,15,30,2,2,2,True,2.6180339887498953,32615859.702112913,23230896.166666687,0.8316162143095165
block_only_ols,5,22-23,15,30,2,2,2,True,2.6180339887498953,15960537.666081026,15702304.299999997,0.9158626587438998
block_only_ols,5,23-24,15,30,2,2,2,True,2.6180339887498953,25894453.57240242,22251121.300000004,0.6730808568633284
block_only_ols,5,24-25,15,30,2,2,2,True,2.6180339887498953,14939476.057143373,13230221.5,0.9545918995255767
block_only_ols,5,25-26,15,30,2,2,2,True,2.6180339887498953,1461876.9733866388,1446330.299999997,0.9993873347471423
