horizon,outer_held_out_season,alpha,inner_rmse,inner_mae,inner_r_squared,selected_alpha
1,13-14,0.1778279410038923,6313903.971546089,4507022.581519073,0.9125020829162366,False
1,13-14,0.31622776601683794,6228544.945998747,4419705.747743761,0.9148518973076915,False
1,13-14,0.5623413251903491,6153931.456382669,4335549.548206079,0.91687970436843,False
1,13-14,1.0,6091714.257165973,4255092.764457023,0.9185519263083447,False
1,13-14,1.7782794100389228,6040571.790379261,4181444.9080855567,0.9199137662981937,False
1,13-14,3.1622776601683795,5999518.8215656,4120020.1260788823,0.9209986322882182,False
1,13-14,5.623413251903491,5968387.134781702,4085635.0096087507,0.921816386124219,False
1,13-14,10.0,5946677.297172413,4065825.581747675,0.9223841329828454,False
1,13-14,17.78279410038923,5932763.652743543,4051721.4625471155,0.9227469090876895,False
1,13-14,31.622776601683793,5924390.099797644,4045622.648330353,0.9229648265294945,False
1,13-14,56.23413251903491,5919532.734068783,4043720.0912170885,0.9230910959372053,False
1,13-14,100.0,5916765.123089394,4043713.5817548083,0.9231629949123868,False
1,13-14,177.82794100389228,5915200.365353129,4043701.572772014,0.9232036304276912,False
1,13-14,316.22776601683796,5914318.455864302,4043691.924497929,0.9232265281806117,False
1,13-14,562.341325190349,5913822.033352301,4043685.5329998797,0.9232394157112842,False
1,13-14,1000.0,5913542.746538198,4043681.6238535936,0.9232466657477891,False
1,13-14,1778.2794100389228,5913385.656487808,4043679.324236475,0.9232507435148792,False
1,13-14,3162.2776601683795,5913297.307919921,4043677.998702333,0.9232530368326628,False
1,13-14,5623.413251903491,5913247.62276059,4043677.2430081866,0.9232543265256632,False
1,13-14,10000.0,5913219.681788159,4043676.8147854777,0.9232550517933392,False
1,13-14,17782.794100389227,5913203.969128149,4043676.572943955,0.9232554596475173,False
1,13-14,31622.776601683792,5913195.133157241,4043676.436619107,0.9232556890027104,False
1,13-14,56234.13251903491,5913190.164296453,4043676.3598544304,0.9232558179792211,False
1,13-14,100000.0,5913187.370091489,4043676.3166537164,0.9232558905082342,False
1,13-14,177827.94100389228,5913185.798791659,4043676.292349806,0.923255931294356,False
1,13-14,316227.7660168379,5913184.915183915,4043676.278679437,0.9232559542300969,False
1,13-14,562341.3251903491,5913184.418294473,4043676.270990985,0.9232559671278178,False
1,13-14,1000000.0,5913184.138872916,4043676.266667125,0.9232559743807411,False
1,13-14,1778279.410038923,5913183.981742597,4043676.2642355347,0.9232559784593602,False
1,13-14,3162277.6601683795,5913183.893381716,4043676.2628681194,0.9232559807529366,False
1,13-14,5623413.251903491,5913183.843692738,4043676.2620991534,0.9232559820427094,False
1,13-14,10000000.0,5913183.815750574,4043676.261666731,0.9232559827680019,False
1,13-14,17782794.100389227,5913183.800037536,4043676.2614235594,0.9232559831758639,False
1,13-14,31622776.60168379,5913183.791201448,4043676.261286815,0.9232559834052215,False
1,13-14,56234132.51903491,5913183.78623255,4043676.2612099173,0.9232559835341988,False
1,13-14,100000000.0,5913183.783438332,4043676.261166673,0.9232559836067281,True
1,14-15,0.0001,6788874.8151075225,5332153.694000924,0.898307793635146,False
1,14-15,0.00017782794100389227,6786987.528523895,5329806.466640005,0.8983643260252827,False
1,14-15,0.00031622776601683794,6783658.292120593,5325653.525696189,0.8984640127253825,False
1,14-15,0.0005623413251903491,6777821.650791937,5318334.322071259,0.8986386601400681,False
1,14-15,0.001,6767699.687074462,5305536.849809558,0.8989411790801536,False
1,14-15,0.0017782794100389228,6750474.023010447,5283914.448062289,0.8994549695747747,False
1,14-15,0.0031622776601683794,6722087.447114557,5247252.86478852,0.9002988001398228,False
