horizon,held_out_season,training_seasons,training_observations,test_observations,weather_predictor_count,weather_max_rank_after_centering,weather_rank,weather_full_column_rank,weather_condition_number,augmented_design_columns,augmented_design_rank,augmented_design_full_column_rank,augmented_design_condition_number,fold_rmse,fold_mae,fold_r_squared,weather_singular_value_1,weather_singular_value_2,weather_singular_value_3,weather_singular_value_4,weather_singular_value_5,weather_singular_value_6,weather_singular_value_7,weather_singular_value_8,weather_singular_value_9
4,24-25,15,45,3,9,9,9,True,5.5053138726372675,12,12,True,5.977122001298354,37159167.48232158,34853350.81685557,0.7902711468264112,6.918363056954307,5.533773868703839,4.279744788025516,3.5274939248848014,3.2696728166921067,2.4600073287763538,2.215396973563942,1.5888897985078319,1.2566700495207428
4,25-26,15,45,3,9,9,9,True,6.125547383162134,12,12,True,6.166533359560402,13802715.190633925,13098679.726245135,0.9666851149233561,7.137601771386278,5.317142250598736,4.080345150049815,3.5259882003490257,3.1574483698347744,2.7178684894850385,2.4034668515884157,1.4866584244691987,1.1652186041374968
5,10-11,15,30,2,9,9,9,True,5.091879106206503,11,11,True,5.091879106206501,15344022.86763937,11755795.36839217,0.9474729849965116,7.111911507422636,5.314359585037067,4.071334345082353,3.660703476473934,3.3486097878227485,2.4279046788934138,2.0925714587416318,1.6625891609278565,1.396716488958646
5,11-12,15,30,2,9,9,9,True,5.53180647967052,11,11,True,5.531806479670522,37180815.34332451,36867562.89987399,0.6429103747157583,7.05529969767071,5.2838476104994285,4.030912873213113,3.561110266871334,3.2644781492728066,2.736180303983718,2.4899844148195176,1.5504039299291221,1.275406094482707
5,12-13,15,30,2,9,9,9,True,5.9737915184989925,11,11,True,5.973791518498997,41203748.593781725,40053161.96666669,-3.1793376990868696,7.324583417271384,4.839528433906044,4.157368967925349,3.6940316348556204,3.311044785675893,2.4752878854582607,2.3791240911525784,1.6571623990979163,1.226119692089924
5,13-14,15,30,2,9,9,9,True,6.122521545239166,11,11,True,6.122521545239163,23254041.623587877,18161029.700000003,0.6732174535272,7.1337905643496144,5.2854194491029665,4.0220598167286745,3.7369630616411738,3.2137808343494543,2.5818804581365127,2.326491350482953,1.5056007553570763,1.1651719821054456
5,14-15,15,30,2,9,9,9,True,7.6262467735668436,11,11,True,7.626246773566841,8756826.360160438,8021108.687126301,0.979391177834008,7.180923565823008,5.241612405710039,4.105862240095818,3.769280412619209,3.159876205966767,2.570826771218859,2.327277949352455,1.4133093006396902,0.9416065043571158
5,15-16,15,30,2,9,9,9,True,5.7740629176634215,11,11,True,5.774062917663415,18803449.73899498,17396201.966666654,0.7936710253228184,7.233200365161538,4.987091213112179,4.195123405209574,3.8356019470047547,3.1937144697614785,2.6128931259002175,2.076833787566942,1.609129820753641,1.2527054984168033
5,16-17,15,30,2,9,9,9,True,6.903004546695441,11,11,True,6.903004546695436,1733222.9800266838,1628368.3839325756,0.9991149935557165,7.079855709611928,4.998542588172408,4.20114155316709,3.7546462673681447,3.2158747240465764,2.8180725064366343,2.4620542374942818,1.657186462243423,1.0256194475492773
5,17-18,15,30,2,9,9,9,True,7.014894874388114,11,11,True,7.014894874388115,17901540.94506029,17624833.535529487,0.8931517610743205,7.3421922275119735,4.8198450304880165,4.087139129687683,3.728475937938227,3.3904383420008766,2.6175818663589006,2.2535115156026446,1.6536187804481637,1.0466574851062767
5,18-19,15,30,2,9,9,9,True,8.286676239529575,11,11,True,8.286676239529577,29674780.618478686,26349521.489653006,0.8228312721050919,7.238071855865868,5.279427827302866,4.141560344726012,3.7391154030923515,3.115245830081555,2.5552332068822423,2.0316570772532208,1.5747752631401066,0.8734589896656522
5,19-20,15,30,2,9,9,9,True,6.864976361903636,11,11,True,6.86497636190364,35125038.22778631,34370942.848760635,0.7033619736482055,7.315205437385046,5.355843691033883,4.22408919560093,3.6916121198248,2.7799373773128377,2.38186722113886,2.037578039819425,1.6258051781436555,1.0655834851784636
5,20-21,15,30,2,9,9,9,True,6.620704635558892,11,11,True,6.620704635558892,18325197.566677738,17269414.566666648,0.9385009918494583,7.38291580488862,4.980483012508026,4.156566857545805,3.882116633475723,3.303110070132628,2.4772537585823566,1.6793903455944938,1.4927446888839635,1.1151253848776153
5,21-22,15,30,2,9,9,9,True,5.620128652836296,11,11,True,5.620128652836293,35421273.10523456,26739335.28884303,0.8014037966573039,6.996973004116031,5.4077158568154395,4.140161859109375,3.727095294873871,3.1293659559396296,2.4829569822542634,2.3498534848516046,1.6543862888100163,1.244984489916416
5,22-23,15,30,2,9,9,9,True,5.715057734988963,11,11,True,5.715057734988963,3574165.664563577,2859440.899999991,0.9957806737633539,7.210807955151166,5.222204214557111,4.248756573329252,3.719202451808631,2.7097919454135155,2.633662732722362,2.33740639208726,1.5855195856969324,1.2617209290826337
5,23-24,15,30,2,9,9,9,True,6.168334939923721,11,11,True,6.168334939923718,32724037.222190473,29924108.76556422,0.4778916894330333,7.154466654191965,5.2307143176907,4.100100103983917,3.7468059734249173,3.183930703287626,2.654256305890935,2.130041539829739,1.5934215116497081,1.1598700012033456
5,24-25,15,30,2,9,9,9,True,5.5053138726372675,11,11,True,5.505313872637269,51432405.03835337,49701645.11452487,0.4618092026729289,6.918363056954307,5.533773868703839,4.279744788025516,3.5274939248848014,3.2696728166921067,2.4600073287763538,2.215396973563942,1.5888897985078319,1.2566700495207428
5,25-26,15,30,2,9,9,9,True,6.125547383162134,11,11,True,6.125547383162134,18940516.729805976,18885213.863108933,0.8971545114458911,7.137601771386278,5.317142250598736,4.080345150049815,3.5259882003490257,3.1574483698347744,2.7178684894850385,2.4034668515884157,1.4866584244691987,1.1652186041374968
