model,horizon,held_out_season,selected_alpha,term,term_type,coefficient_standardized,coefficient_raw
joint_month_level_ridge,1,17-18,100000000.0,rainfall_mar,weather,4.971934409982589e-05,1.3187503993847132e-06
joint_month_level_ridge,1,17-18,100000000.0,rainfall_apr,weather,0.0034144971710178963,0.00013602727698334925
joint_month_level_ridge,1,17-18,100000000.0,temperature_sep,weather,-0.0055127613100882334,-0.0036060153924561108
joint_month_level_ridge,1,17-18,100000000.0,temperature_oct,weather,0.005726901099999612,0.004109419271186361
joint_month_level_ridge,1,17-18,100000000.0,temperature_nov,weather,0.0006705411496570027,0.0006678886809484909
joint_month_level_ridge,1,17-18,100000000.0,temperature_dec,weather,-0.0013107312157110596,-0.0013731774711439968
joint_month_level_ridge,1,17-18,100000000.0,temperature_jan,weather,-0.0020599439048441513,-0.0018212411595214001
joint_month_level_ridge,1,17-18,100000000.0,temperature_feb,weather,-0.0024069531996200686,-0.002444830683428026
joint_month_level_ridge,1,17-18,100000000.0,temperature_mar,weather,-0.002694369631106844,-0.0023089089460022055
joint_month_level_ridge,1,17-18,100000000.0,temperature_apr,weather,-0.003910287661035936,-0.0037039629276518922
joint_month_level_ridge,1,18-19,100000000.0,intercept,intercept,24533282.13333334,24533282.438516345
joint_month_level_ridge,1,18-19,100000000.0,block_fe_2,block_fixed_effect,23304725.266666666,23304725.266666666
joint_month_level_ridge,1,18-19,100000000.0,block_fe_3,block_fixed_effect,23581614.999999978,23581614.999999978
joint_month_level_ridge,1,18-19,100000000.0,block_fe_4,block_fixed_effect,29934297.33333333,29934297.33333333
joint_month_level_ridge,1,18-19,100000000.0,block_fe_5,block_fixed_effect,28541326.333333343,28541326.333333343
joint_month_level_ridge,1,18-19,100000000.0,block_fe_6,block_fixed_effect,20790008.133333337,20790008.133333337
joint_month_level_ridge,1,18-19,100000000.0,block_fe_7,block_fixed_effect,13246652.733333329,13246652.733333329
joint_month_level_ridge,1,18-19,100000000.0,block_fe_8,block_fixed_effect,-928963.0666666813,-928963.0666666813
joint_month_level_ridge,1,18-19,100000000.0,block_fe_9,block_fixed_effect,-17408615.800000012,-17408615.800000012
joint_month_level_ridge,1,18-19,100000000.0,block_fe_10,block_fixed_effect,-24040689.200000018,-24040689.200000018
joint_month_level_ridge,1,18-19,100000000.0,block_fe_11,block_fixed_effect,-24283087.73333332,-24283087.73333332
joint_month_level_ridge,1,18-19,100000000.0,block_fe_12,block_fixed_effect,-21096846.86666666,-21096846.86666666
joint_month_level_ridge,1,18-19,100000000.0,rainfall_sep,weather,0.00863121634041346,0.00020503948189087124
