horizon,term,term_type,coefficient_standardized_mean,coefficient_standardized_std,coefficient_standardized_min,coefficient_standardized_max,coefficient_raw_mean,coefficient_raw_std
5,rainfall_feb,weather,-355239.07750643755,1710129.49888794,-6723821.473617384,781426.2191135659,-7340.217490572371,35387.29605951228
5,rainfall_jan,weather,-430650.6293755643,1555315.542821257,-6222415.839234026,60267.43371534793,-6421.523308221361,23115.089317389113
5,rainfall_mar,weather,-34242.46965250587,224092.77670194313,-851727.780018433,166453.74551276118,-860.2262026492473,6002.767213332881
5,rainfall_nov,weather,902736.0157518737,3259238.2039422723,0.014740568216832488,13068509.944118027,19291.079002508224,69660.8892860282
5,rainfall_oct,weather,-222512.60823098378,672055.4095527747,-2620057.0177104836,-0.00556598745601585,-5401.239133410539,16108.22296208218
5,rainfall_sep,weather,177909.48683367518,436023.3015965522,0.03748825628426272,1339872.514287834,4192.830519514652,10289.09627322102
5,temperature_apr,weather,-150790.28445793688,393935.92165824457,-1347489.3429722153,-0.013191090487113765,-155545.7139114214,403036.6201054382
5,temperature_dec,weather,-69305.39656359385,217705.8254613827,-854191.4244287157,0.004991823915116157,-117719.32283513818,403043.29067024693
5,temperature_feb,weather,-263660.1580318754,953339.4081405629,-3825156.9231759533,-0.005906013323234968,-280663.47154216166,1004472.5664573938
5,temperature_jan,weather,-472917.76612343575,1737776.7018473323,-6971961.40472429,-0.00625853063449949,-430815.61607452267,1573966.8102837692
5,temperature_mar,weather,-398076.4745369581,1492198.237930068,-5988365.623512445,-0.0008211686825102402,-341008.2654518094,1267361.6673944287
5,temperature_nov,weather,810343.0328840804,3343223.108418966,-400846.27925971797,13341751.102823436,848457.6124769578,3536810.571440161
5,temperature_oct,weather,104476.17261282935,291414.4109270515,0.019849995214086407,1069278.0573392063,76410.40463801424,214235.79582985214
5,temperature_sep,weather,-70910.95455033504,350163.2716408596,-1320729.4253553702,374160.5452900837,-47123.665629034906,232013.10644598343
