horizon,term,term_type,coefficient_standardized_mean,coefficient_standardized_std,coefficient_standardized_min,coefficient_standardized_max,coefficient_raw_mean,coefficient_raw_std
3,rainfall_mar,weather,-1607054.3404889174,908407.9212836678,-3299637.8475209423,843748.1817024855,-43540.446877926435,25546.705603414714
3,rainfall_nov,weather,1746952.8883795054,1040029.8307588252,-154940.37196642964,4153522.7803090536,37492.96079502697,22157.423779204484
3,rainfall_oct,weather,-1596722.8252839583,1150778.7638492575,-3669128.204473513,1255965.5187530245,-39035.34138632701,27987.826800851566
3,rainfall_sep,weather,2452268.065736814,1190694.408169971,653452.6974470863,5465363.532676722,58762.530313006035,28279.187560930888
4,block_fe_2,block_fixed_effect,-17888326.687500015,1972031.8296875213,-22945262.533333387,-15171613.4666667,-17888326.687500015,1972031.8296875213
4,block_fe_3,block_fixed_effect,-164645291.125,1479333.461044323,-168156829.9333334,-162541522.8,-164645291.125,1479333.461044323
4,intercept,intercept,175926524.375,1155896.5255800101,174419989.33333334,179104865.80000004,123132859.16797116,82983767.86656304
4,growing_season_average_temperature,weather,1670338.3910882035,2360099.0594116966,-5402567.369541585,4523951.948739622,1793399.163065407,3221224.927043274
4,rainfall_apr,weather,3777949.9882392786,1372133.814151405,1511550.731498895,5922242.027112335,140405.19671761748,50324.04759742666
4,rainfall_dec,weather,-488214.4713862379,1627652.3590954023,-3349187.7803940205,2046386.7297407393,-9621.888887121015,32872.177809619105
4,rainfall_feb,weather,1275903.7051632283,1437461.7232982593,-1044008.9087320906,4935180.087263121,26860.76116578505,30201.546448789646
4,rainfall_jan,weather,-207421.4819498124,1966629.722793477,-4242703.624585144,3270609.6331187054,-3408.6842154485566,30106.237469443993
4,rainfall_mar,weather,-2142739.1206518826,1211210.5617115921,-4399517.130027885,1124997.5756035796,-58053.92917056828,34062.2741378875
4,rainfall_nov,weather,2329270.5178393414,1386706.4410117667,-206587.16262190393,5538030.373745392,49990.61439336932,29543.231705605973
4,rainfall_oct,weather,-2128963.7670452786,1534371.6851323403,-4892170.939298021,1674620.6916706953,-52047.121848436036,37317.10240113534
4,rainfall_sep,weather,3269690.754315753,1587592.544226625,871270.2632627886,7287151.376902305,78350.0404173414,37705.58341457444
5,block_fe_2,block_fixed_effect,-115409696.6875,1994000.3721892708,-120416341.93333338,-112505834.66666669,-115409696.6875,1994000.3721892708
5,intercept,intercept,228477432.125,1074495.6103671223,226955863.8,231380654.0666667,143563395.4547994,116831752.44697174
5,growing_season_average_temperature,weather,2646151.6779978946,3356059.002533826,-7541394.887727009,7262408.127889406,2863602.422498573,4572983.2200464215
5,rainfall_apr,weather,5333950.679531906,1995639.0273712373,2012079.8983171568,8855238.189137598,198256.55121183008,73412.23566220282
5,rainfall_dec,weather,255094.50005836174,2238297.8090332844,-3651616.3282505358,3553272.7333880025,5693.706855224862,45282.802080043104
5,rainfall_feb,weather,2483793.0086359577,1954535.6710196275,-598071.9567614659,7881042.5080127055,52134.261848559116,41132.79481964631
5,rainfall_jan,weather,-306948.25803117297,2802781.9076752593,-6287631.742362839,4319466.9530828055,-5016.556264752944,42855.47209184326
5,rainfall_mar,weather,-3797391.1986227655,1786485.8659915281,-7555757.081270078,756894.734375098,-103208.20364503565,49244.12482296861
5,rainfall_nov,weather,2348486.6191429105,1929806.5225605383,-1276405.381051353,6591571.852045592,50259.45214582923,41393.62745583718
5,rainfall_oct,weather,-2161899.942355039,2163246.5379643682,-5816563.25410379,3408974.315345524,-52696.291753156285,52962.446819342746
5,rainfall_sep,weather,4726112.573870011,2313813.093939878,1318437.2312718295,11349280.184482783,113276.5855041273,55130.82492845562
