model,horizon,held_out_season,training_seasons,training_observations,test_observations,selected_alpha,selected_alpha_at_minimum_grid,selected_alpha_at_maximum_grid,weather_rank,weather_condition_number,weather_effective_degrees_of_freedom,fold_rmse,fold_mae,fold_r_squared
joint_month_level_ridge,5,13-14,15,30,2,100000000.0,False,True,14,inf,1.5999999415731486e-07,22338471.59436023,18161029.699999996,0.6984433763215722
joint_month_level_ridge,5,14-15,15,30,2,100000000.0,False,True,14,inf,1.5999999406112225e-07,4837533.119135335,3513377.766666673,0.9937106234344375
joint_month_level_ridge,5,15-16,15,30,2,100000000.0,False,True,14,inf,1.5999999419111536e-07,18688082.64574581,17396201.96666666,0.7961950889290998
joint_month_level_ridge,5,16-17,15,30,2,100000000.0,False,True,14,inf,1.5999999425431352e-07,9335383.10891618,9316485.361204416,0.9743255087392331
joint_month_level_ridge,5,17-18,15,30,2,100000000.0,False,True,14,inf,1.599999942789677e-07,5351595.14979709,4336952.800617807,0.9904511067322238
joint_month_level_ridge,5,18-19,15,30,2,100000000.0,False,True,14,inf,1.599999941324262e-07,15102307.93102269,13649004.43333333,0.9541120480145223
joint_month_level_ridge,5,19-20,15,30,2,100000000.0,False,True,14,inf,1.599999940082916e-07,7398890.3939179415,7239240.166666709,0.98683786322772
joint_month_level_ridge,5,20-21,15,30,2,100000000.0,False,True,14,inf,1.599999940681042e-07,18662741.134116907,17269414.566666678,0.9362145469188659
joint_month_level_ridge,5,21-22,15,30,2,100000000.0,False,True,14,inf,1.599999945638031e-07,32615859.715172324,23230896.166666687,0.8316162141746746
joint_month_level_ridge,5,22-23,15,30,2,100000000.0,False,True,14,inf,1.5999999411730322e-07,15960537.511368332,15702304.142742962,0.9158626603750623
joint_month_level_ridge,5,23-24,15,30,2,0.0001,True,False,14,inf,13.98448462298749,48283294.392596014,46431306.14893472,-0.13663399038310975
joint_month_level_ridge,5,24-25,15,30,2,1.7782794100389228,False,False,14,inf,4.026903103277943,28430391.39233922,25164427.1498982,0.835552120180665
joint_month_level_ridge,5,25-26,15,30,2,100000000.0,False,True,14,inf,1.5999999443221032e-07,1461876.9411992563,1446330.3000000194,0.9993873347741213
