season,period_end_date,region,sugar_tonnes
17-18,2018-01-16,sao_paulo,1
17-18,2018-02-01,other_states,3793
17-18,2018-02-01,sao_paulo,1
17-18,2018-02-16,other_states,2932
17-18,2018-02-16,sao_paulo,1690
17-18,2018-03-01,other_states,3381
17-18,2018-03-01,sao_paulo,1638
17-18,2018-03-16,other_states,14579
17-18,2018-03-16,sao_paulo,33077
17-18,2018-04-01,other_states,42002
17-18,2018-04-01,sao_paulo,124223
18-19,2018-04-16,other_states,236180
18-19,2018-04-16,sao_paulo,476363
18-19,2018-05-01,other_states,426593
18-19,2018-05-01,sao_paulo,1110908
18-19,2018-05-16,other_states,558409
18-19,2018-05-16,sao_paulo,1348544
18-19,2018-06-01,other_states,358716
18-19,2018-06-01,sao_paulo,987410
18-19,2018-06-16,other_states,563932
18-19,2018-06-16,sao_paulo,1421526
18-19,2018-07-01,other_states,709107
18-19,2018-07-01,sao_paulo,1578003
18-19,2018-07-16,other_states,743090
18-19,2018-07-16,sao_paulo,1652475
18-19,2018-08-01,other_states,830488
18-19,2018-08-01,sao_paulo,1791502
18-19,2018-08-16,other_states,576669
18-19,2018-08-16,sao_paulo,1134350
18-19,2018-09-01,other_states,738301
18-19,2018-09-01,sao_paulo,1644542
18-19,2018-09-16,other_states,662703
18-19,2018-09-16,sao_paulo,1494889
18-19,2018-10-01,other_states,442600
18-19,2018-10-01,sao_paulo,846776
18-19,2018-10-16,other_states,382470
18-19,2018-10-16,sao_paulo,740719
18-19,2018-11-01,other_states,327088
18-19,2018-11-01,sao_paulo,632521
18-19,2018-11-16,other_states,269830
18-19,2018-11-16,sao_paulo,616391
18-19,2018-12-01,other_states,189314
18-19,2018-12-01,sao_paulo,343517
18-19,2018-12-16,other_states,188199
18-19,2018-12-16,sao_paulo,243362
18-19,2019-01-01,other_states,52228
18-19,2019-01-01,sao_paulo,21269
18-19,2019-01-16,other_states,11159
18-19,2019-01-16,sao_paulo,1764
18-19,2019-02-01,other_states,4937
18-19,2019-02-01,sao_paulo,421
18-19,2019-02-16,other_states,967
18-19,2019-02-16,sao_paulo,680
18-19,2019-03-01,other_states,1229
18-19,2019-03-01,sao_paulo,0
18-19,2019-03-16,other_states,3767
18-19,2019-03-16,sao_paulo,5311
18-19,2019-04-01,other_states,60012
18-19,2019-04-01,sao_paulo,78821
19-20,2019-04-16,other_states,150935
19-20,2019-04-16,sao_paulo,189162
19-20,2019-05-01,other_states,335077
19-20,2019-05-01,sao_paulo,707099
19-20,2019-05-16,other_states,459206
19-20,2019-05-16,sao_paulo,1145345
19-20,2019-06-01,other_states,555408
19-20,2019-06-01,sao_paulo,1315255
19-20,2019-06-16,other_states,588433
19-20,2019-06-16,sao_paulo,1281784
19-20,2019-07-01,other_states,661244
19-20,2019-07-01,sao_paulo,1550562
19-20,2019-07-16,other_states,636738
19-20,2019-07-16,sao_paulo,1305377
19-20,2019-08-01,other_states,750398
19-20,2019-08-01,sao_paulo,1730541
19-20,2019-08-16,other_states,664656
19-20,2019-08-16,sao_paulo,1465011
19-20,2019-09-01,other_states,762455
19-20,2019-09-01,sao_paulo,1758910
19-20,2019-09-16,other_states,645551
19-20,2019-09-16,sao_paulo,1392765
19-20,2019-10-01,other_states,543087
19-20,2019-10-01,sao_paulo,1254094
19-20,2019-10-16,other_states,533325
19-20,2019-10-16,sao_paulo,1380306
19-20,2019-11-01,other_states,440391
19-20,2019-11-01,sao_paulo,1078081
19-20,2019-11-16,other_states,247982
19-20,2019-11-16,sao_paulo,543091
19-20,2019-12-01,other_states,115795
19-20,2019-12-01,sao_paulo,232198
19-20,2019-12-16,other_states,26229
19-20,2019-12-16,sao_paulo,23947
19-20,2020-01-01,other_states,8921
19-20,2020-01-01,sao_paulo,4016
19-20,2020-01-16,other_states,4274
19-20,2020-01-16,sao_paulo,0
19-20,2020-02-01,other_states,3648
19-20,2020-02-01,sao_paulo,0
19-20,2020-02-16,other_states,2508
19-20,2020-02-16,sao_paulo,0
19-20,2020-03-01,other_states,0
19-20,2020-03-01,sao_paulo,0
19-20,2020-03-16,other_states,17236
19-20,2020-03-16,sao_paulo,23596
19-20,2020-04-01,other_states,92724
19-20,2020-04-01,sao_paulo,133993
20-21,2020-04-16,other_states,343794
20-21,2020-04-16,sao_paulo,627659
20-21,2020-05-01,other_states,583978
20-21,2020-05-01,sao_paulo,1449376
20-21,2020-05-16,other_states,720976
20-21,2020-05-16,sao_paulo,1764260
20-21,2020-06-01,other_states,780976
20-21,2020-06-01,sao_paulo,1776065
20-21,2020-06-16,other_states,776218
20-21,2020-06-16,sao_paulo,1783615
20-21,2020-07-01,other_states,867655
20-21,2020-07-01,sao_paulo,1870563
20-21,2020-07-16,other_states,952872
20-21,2020-07-16,sao_paulo,2077214
20-21,2020-08-01,other_states,1078611
20-21,2020-08-01,sao_paulo,2361200
20-21,2020-08-16,other_states,1027215
20-21,2020-08-16,sao_paulo,2209080
20-21,2020-09-01,other_states,865745
20-21,2020-09-01,sao_paulo,2068097
20-21,2020-09-16,other_states,1028021
20-21,2020-09-16,sao_paulo,2175960
20-21,2020-10-01,other_states,901986
